constituency-name,parl25-deprivation-score,label,low-deprivation,medium-deprivation,high-deprivation,parl25-imd-pop-quintile,parl25-imd-pop-decile
St Helens North,32.1008017,1st IMD quintile,0.228292117,0.354199683,0.4175082,1,2
Sheffield South East,32.0846148,1st IMD quintile,0.214857641,0.375119493,0.410022866,1,2
Redcar,31.92793998,1st IMD quintile,0.243110572,0.377864384,0.379025045,1,2
Glasgow South West,31.90213633,1st IMD quintile,0.219922837,0.344987299,0.435089864,1,2
North Down,31.87862518,1st IMD quintile,0.0,0.624936171,0.375063829,1,2
Plymouth Sutton and Devonport,31.82122149,1st IMD quintile,0.150712739,0.463067178,0.386220084,1,2
Halifax,31.68678643,1st IMD quintile,0.184967252,0.352947276,0.462085472,1,2
Peterborough,31.623519,1st IMD quintile,0.132016137,0.338362822,0.529621041,1,2
Kingston upon Hull West and Haltemprice,31.50524278,1st IMD quintile,0.312062399,0.301867739,0.386069862,1,2
Sunderland Central,31.42676335,1st IMD quintile,0.198142141,0.406130404,0.395727455,1,2
Doncaster North,31.41360968,1st IMD quintile,0.215205646,0.41669506,0.368099294,1,2
Rawmarsh and Conisbrough,31.35802756,1st IMD quintile,0.157693868,0.475681257,0.366624876,1,2
South Shields,31.24491883,1st IMD quintile,0.197431831,0.401598155,0.400970014,1,2
Liverpool Garston,31.15402711,1st IMD quintile,0.290843842,0.313450788,0.39570537,1,2
Lagan Valley,31.14846393,1st IMD quintile,0.0,0.754822796,0.245177204,1,2
Stockport,31.04314855,1st IMD quintile,0.246350238,0.422329591,0.331320171,1,2
Newport East,31.03424858,1st IMD quintile,0.223662689,0.328918999,0.447418312,1,2
Peckham,30.99943097,1st IMD quintile,0.0,0.626106107,0.373893893,1,2
Birmingham Selly Oak,30.98721617,1st IMD quintile,0.065513312,0.589999683,0.344487005,1,2
Hackney North and Stoke Newington,30.86124528,2nd IMD quintile,0.0,0.733112148,0.266887852,2,3
Barnsley North,30.63432737,2nd IMD quintile,0.129587137,0.499397461,0.371015402,2,3
Houghton and Sunderland South,30.62069772,2nd IMD quintile,0.193280499,0.425263666,0.381455834,2,3
"Pontefract, Castleford and Knottingley",30.59200888,2nd IMD quintile,0.221695347,0.393108864,0.385195789,2,3
West Ham and Beckton,30.53510255,2nd IMD quintile,0.026788158,0.611579111,0.361632732,2,3
Widnes and Halewood,30.53011275,2nd IMD quintile,0.251607165,0.340951361,0.407441475,2,3
Bristol East,30.51246462,2nd IMD quintile,0.14274047,0.53579753,0.321462,2,3
Gateshead Central and Whickham,30.47544159,2nd IMD quintile,0.237361237,0.421601456,0.341037307,2,3
Doncaster Central,30.29701996,2nd IMD quintile,0.277302832,0.319752315,0.402944854,2,3
Stalybridge and Hyde,30.15892667,2nd IMD quintile,0.215078981,0.359608489,0.42531253,2,3
Washington and Gateshead South,30.1539609,2nd IMD quintile,0.218726488,0.409782996,0.371490516,2,3
Huddersfield,30.1191522,2nd IMD quintile,0.175641532,0.411819976,0.412538492,2,3
Bethnal Green and Stepney,30.10725263,2nd IMD quintile,0.046210156,0.63299101,0.320798834,2,3
Swansea West,29.8843242,2nd IMD quintile,0.235536829,0.404732766,0.359730405,2,3
Merthyr Tydfil and Aberdare,29.85316581,2nd IMD quintile,0.104571744,0.58542411,0.310004145,2,3
Sittingbourne and Sheppey,29.67110876,2nd IMD quintile,0.198427816,0.519723839,0.281848344,2,3
Boston and Skegness,29.67008999,2nd IMD quintile,0.172253251,0.549068429,0.27867832,2,3
Croydon West,29.61607728,2nd IMD quintile,0.0,0.754473952,0.245526048,2,3
Queen's Park and Maida Vale,29.54262903,2nd IMD quintile,0.127200422,0.539947211,0.332852367,2,3
Nottingham South,29.48728021,2nd IMD quintile,0.234575495,0.346711774,0.418712731,2,3
Dundee Central,29.46368985,2nd IMD quintile,0.30784832,0.315391957,0.376759723,2,3
Torbay,29.38171658,2nd IMD quintile,0.208543697,0.535834715,0.255621588,2,3
Brent East,29.38170608,2nd IMD quintile,0.029583695,0.70582444,0.264591865,2,3
Telford,29.30636851,2nd IMD quintile,0.242366357,0.43740364,0.320230003,2,3
Portsmouth South,29.23299177,2nd IMD quintile,0.07591877,0.710524492,0.213556738,2,3
Lewisham East,29.19566079,2nd IMD quintile,0.079565291,0.593614505,0.326820204,2,3
West Dunbartonshire,29.08548553,2nd IMD quintile,0.201664955,0.428606952,0.369728093,2,3
Normanton and Hemsworth,28.99083869,2nd IMD quintile,0.169636854,0.478711353,0.351651793,2,3
Plymouth Moor View,28.96578098,2nd IMD quintile,0.184182233,0.504707549,0.311110218,2,3
Leicester South,28.92856171,2nd IMD quintile,0.1789833,0.46402092,0.35699578,2,3
Bishop Auckland,28.91840935,2nd IMD quintile,0.184264703,0.517552051,0.298183246,2,3
Stratford and Bow,28.83076661,2nd IMD quintile,0.0,0.823508021,0.176491979,2,3
Mansfield,28.50884457,2nd IMD quintile,0.253162936,0.348549578,0.398287486,2,3
Coatbridge and Bellshill,28.32626565,2nd IMD quintile,0.273498727,0.391427476,0.335073798,2,3
Islington North,28.31367762,2nd IMD quintile,0.048200462,0.684454737,0.267344801,2,3
Northampton North,28.20077271,2nd IMD quintile,0.184699554,0.490608432,0.324692014,2,3
Leigh and Atherton,28.17572353,2nd IMD quintile,0.335371,0.306600565,0.358028434,2,3
Southampton Test,27.89573904,2nd IMD quintile,0.217977172,0.451701543,0.330321285,2,3
Southend East and Rochford,27.88737376,2nd IMD quintile,0.279179192,0.397544816,0.323275992,2,3
Edmonton and Winchmore Hill,27.863175,2nd IMD quintile,0.200532169,0.424356963,0.375110869,2,3
Wigan,27.84457805,2nd IMD quintile,0.320699989,0.330979004,0.348321007,2,3
Middlesbrough South and East Cleveland,27.63050106,2nd IMD quintile,0.379321682,0.273278751,0.347399567,2,3
Leicester East,27.58047196,2nd IMD quintile,0.095316606,0.638389407,0.266293987,2,3
Glasgow North,27.55355228,2nd IMD quintile,0.41807168,0.27070017,0.31122815,2,3
Glenrothes and Mid Fife,27.51459586,2nd IMD quintile,0.23239752,0.46443677,0.30316571,2,3
Cardiff East,27.48254638,2nd IMD quintile,0.251143365,0.458266054,0.290590581,2,3
Lowestoft,27.46615527,2nd IMD quintile,0.255847177,0.459804482,0.284348341,2,3
Luton South and South Bedfordshire,27.42732348,2nd IMD quintile,0.139952641,0.48798073,0.372066629,2,3
Brighton Kemptown and Peacehaven,27.39776462,2nd IMD quintile,0.323862391,0.383229356,0.292908254,2,3
Ashfield,27.39154573,2nd IMD quintile,0.177094369,0.509178144,0.313727488,2,3
Vauxhall and Camberwell Green,27.34480083,2nd IMD quintile,0.049428412,0.792625586,0.157946002,2,3
Southampton Itchen,27.29955186,2nd IMD quintile,0.162811582,0.586916295,0.250272124,2,3
Enfield North,27.29247169,2nd IMD quintile,0.175513998,0.52809607,0.296389932,2,3
Runcorn and Helsby,27.23756646,2nd IMD quintile,0.444684759,0.188054108,0.367261133,2,3
Blackpool North and Fleetwood,27.18335571,2nd IMD quintile,0.255218043,0.492998703,0.251783254,2,3
Wolverhampton West,27.14515639,2nd IMD quintile,0.270890771,0.391016805,0.338092425,2,3
Darlington,27.07701932,2nd IMD quintile,0.303683298,0.379910213,0.316406489,2,3
Airdrie and Shotts,27.06766671,2nd IMD quintile,0.242884819,0.426870918,0.330244263,2,3
Barrow and Furness,26.90910472,2nd IMD quintile,0.295062688,0.415683227,0.289254085,2,3
Walthamstow,26.89867453,2nd IMD quintile,0.024537286,0.744266953,0.231195761,2,3
Islington South and Finsbury,26.86185057,2nd IMD quintile,0.092301483,0.719109708,0.188588809,2,3
Newton Aycliffe and Spennymoor,26.71050247,2nd IMD quintile,0.21125652,0.47053638,0.318207101,2,4
Dagenham and Rainham,26.70482969,2nd IMD quintile,0.176574129,0.54294088,0.280484991,2,4
Lewisham North,26.70466886,2nd IMD quintile,0.054588918,0.780351125,0.165059958,2,4
Scarborough and Whitby,26.64715228,2nd IMD quintile,0.29838303,0.429768313,0.271848657,2,4
Bury South,26.58944768,2nd IMD quintile,0.244070273,0.505827783,0.250101944,2,4
Clwyd North,26.58938917,2nd IMD quintile,0.324937411,0.419363667,0.255698923,2,4
Glasgow South,26.55826852,2nd IMD quintile,0.368075062,0.359082397,0.272842541,2,4
Ipswich,26.45675611,2nd IMD quintile,0.268757731,0.423732108,0.307510161,2,4
Whitehaven and Workington,26.32040595,2nd IMD quintile,0.266202358,0.468664369,0.265133272,2,4
Wakefield and Rothwell,26.30045072,2nd IMD quintile,0.347997957,0.357092548,0.294909494,2,4
Inverclyde and Renfrewshire West,26.16730413,2nd IMD quintile,0.449717013,0.202603699,0.347679288,2,4
Camborne and Redruth,26.1313935,2nd IMD quintile,0.147310176,0.645587925,0.207101899,2,4
"Motherwell, Wishaw and Carluke",26.04416563,2nd IMD quintile,0.31853721,0.38825486,0.293207929,2,4
Rossendale and Darwen,26.03317841,2nd IMD quintile,0.356927711,0.385741078,0.257331212,2,4
Glasgow West,26.02080749,2nd IMD quintile,0.381142625,0.26845739,0.350399985,2,4
Worsley and Eccles,25.79585334,2nd IMD quintile,0.351265125,0.397348437,0.251386438,2,4
Scunthorpe,25.76869652,2nd IMD quintile,0.323057209,0.351619882,0.325322909,2,4
Stourbridge,25.72604949,2nd IMD quintile,0.310691644,0.346089717,0.343218639,2,4
Keighley and Ilkley,25.71443797,2nd IMD quintile,0.439161318,0.248636739,0.312201944,2,4
Folkestone and Hythe,25.66529011,2nd IMD quintile,0.190218522,0.590041623,0.219739854,2,4
Leeds Central and Headingley,25.62369398,2nd IMD quintile,0.22297079,0.538053928,0.238975282,2,4
North East Cambridgeshire,25.61847238,2nd IMD quintile,0.166745214,0.645262641,0.187992145,2,4
Ellesmere Port and Bromborough,25.61520816,2nd IMD quintile,0.415973378,0.246227048,0.337799574,2,4
North Durham,25.40667068,2nd IMD quintile,0.258189287,0.474749265,0.267061448,2,4
Pendle and Clitheroe,25.25691519,2nd IMD quintile,0.369687494,0.350045825,0.280266681,2,4
Erith and Thamesmead,25.23624315,2nd IMD quintile,0.079106358,0.803167251,0.11772639,2,4
Cardiff West,25.18653269,2nd IMD quintile,0.453481225,0.216735933,0.329782842,2,4
Louth and Horncastle,25.15431816,2nd IMD quintile,0.221140655,0.599620723,0.179238622,2,4
"Ayr, Carrick and Cumnock",25.10423057,2nd IMD quintile,0.277263,0.503604596,0.219132404,2,4
Clapham and Brixton Hill,25.08813808,2nd IMD quintile,0.0683829,0.785557621,0.14605948,2,4
Leeds South West and Morley,25.05528765,2nd IMD quintile,0.251130164,0.495265004,0.253604832,2,4
North West Norfolk,25.02792886,2nd IMD quintile,0.17285114,0.637643394,0.189505467,2,4
Portsmouth North,25.00160655,2nd IMD quintile,0.220549061,0.506780325,0.272670614,2,4
Manchester Withington,24.91757073,2nd IMD quintile,0.230775337,0.597408267,0.171816396,2,4
Halesowen,24.89282336,2nd IMD quintile,0.292841112,0.473857887,0.233301,2,4
North Ayrshire and Arran,24.87416352,2nd IMD quintile,0.373100684,0.323306432,0.303592884,2,4
Neath and Swansea East,24.7326936,2nd IMD quintile,0.292733571,0.46209333,0.245173099,2,4
Weston-super-Mare,24.72944584,2nd IMD quintile,0.385443583,0.366084246,0.248472171,2,4
Norwich South,24.69308042,2nd IMD quintile,0.367767462,0.32786286,0.304369677,2,4
Stoke-on-Trent South,24.5784416,2nd IMD quintile,0.392625956,0.327479474,0.27989457,2,4
Bolsover,24.54305318,2nd IMD quintile,0.213463294,0.595737998,0.190798708,2,4
Torfaen,24.5337796,2nd IMD quintile,0.251998169,0.491076085,0.256925746,2,4
Poplar and Limehouse,24.51829294,2nd IMD quintile,0.231348148,0.549491358,0.219160494,2,4
Paisley and Renfrewshire South,24.50688863,2nd IMD quintile,0.382056127,0.326180042,0.291763831,2,4
Hayes and Harlington,24.4718974,2nd IMD quintile,0.081869623,0.833012945,0.085117433,2,4
Llanelli,24.45943144,2nd IMD quintile,0.136585366,0.703222052,0.160192582,2,4
Chesterfield,24.45295926,2nd IMD quintile,0.301838686,0.435751767,0.262409547,2,4
Kilmarnock and Loudoun,24.44047395,2nd IMD quintile,0.377765115,0.359388673,0.262846212,2,4
Ealing Southall,24.42352302,2nd IMD quintile,0.189214722,0.612572328,0.19821295,2,4
Isle of Wight East,24.33599382,2nd IMD quintile,0.229571824,0.63468076,0.135747416,2,4
St Austell and Newquay,24.28325202,2nd IMD quintile,0.20008518,0.660162035,0.139752785,2,4
Chatham and Aylesford,24.2752482,2nd IMD quintile,0.367099156,0.362323256,0.270577588,2,4
Bermondsey and Old Southwark,24.25741222,2nd IMD quintile,0.173369964,0.740110058,0.086519978,2,4
Bristol North East,24.2232742,2nd IMD quintile,0.198856447,0.664081439,0.137062113,2,4
Lincoln,24.19109568,2nd IMD quintile,0.362769602,0.393994477,0.243235921,2,4
St Ives,24.16079731,2nd IMD quintile,0.134898731,0.759474965,0.105626304,2,4
Makerfield,24.15220767,2nd IMD quintile,0.357363769,0.378740752,0.263895479,2,4
Warrington North,24.12910469,2nd IMD quintile,0.403337983,0.296698409,0.299963608,2,4
Dulwich and West Norwood,24.09402533,2nd IMD quintile,0.187797693,0.593982641,0.218219666,2,4
Nuneaton,24.01771037,2nd IMD quintile,0.329063915,0.444264655,0.22667143,2,4
Hamilton and Clyde Valley,23.98970226,2nd IMD quintile,0.372424271,0.383069034,0.244506695,2,4
Greenwich and Woolwich,23.91246932,2nd IMD quintile,0.222303671,0.647555218,0.130141111,2,4
Havant,23.86880288,2nd IMD quintile,0.358268655,0.308674342,0.333057003,2,4
Basildon and Billericay,23.82405165,2nd IMD quintile,0.289305356,0.49294924,0.217745404,2,4
Holborn and St Pancras,23.81610479,2nd IMD quintile,0.181660041,0.636281708,0.18205825,2,4
Bury North,23.75412469,3rd IMD quintile,0.398417656,0.340194547,0.261387797,3,5
Gloucester,23.7411729,3rd IMD quintile,0.395019291,0.310943529,0.29403718,3,5
Rother Valley,23.73921872,3rd IMD quintile,0.479012177,0.305206463,0.21578136,3,5
Paisley and Renfrewshire North,23.73092123,3rd IMD quintile,0.370090503,0.369059208,0.260850289,3,5
Feltham and Heston,23.71575444,3rd IMD quintile,0.045180915,0.861311951,0.093507135,3,5
Caerphilly,23.63830031,3rd IMD quintile,0.278354978,0.525712272,0.195932749,3,5
