parl25,constituency-name,parl25-deprivation-score,label,desc,low-deprivation,medium-deprivation,high-deprivation,parl25-imd-pop-quintile,parl25-imd-pop-decile
UKPARL.2025.DES,Derby South,35.14526766,1st IMD quintile,Constituencies in most deprived quintile (20%),0.144548366,0.259380739,0.596070895,1,1
UKPARL.2025.BNS,Barnsley South,35.14056349,1st IMD quintile,Constituencies in most deprived quintile (20%),0.058122012,0.472008591,0.469869397,1,2
UKPARL.2025.TOT,Tottenham,35.13690757,1st IMD quintile,Constituencies in most deprived quintile (20%),0,0.4975984,0.5024016,1,2
UKPARL.2025.RHM,Rotherham,34.97822708,1st IMD quintile,Constituencies in most deprived quintile (20%),0.211019302,0.299785903,0.489194795,1,2
UKPARL.2025.NCL,Newcastle upon Tyne Central and West,34.96544524,1st IMD quintile,Constituencies in most deprived quintile (20%),0.100343215,0.458969543,0.440687242,1,2
UKPARL.2025.BTS,Belfast South and Mid Down,34.75969564,1st IMD quintile,Constituencies in most deprived quintile (20%),0.03271802,0.694071709,0.273210271,1,2
UKPARL.2025.WLL,Wallasey,34.60798423,1st IMD quintile,Constituencies in most deprived quintile (20%),0.179550955,0.38656705,0.433881996,1,2
UKPARL.2025.JGE,Jarrow and Gateshead East,34.58099765,1st IMD quintile,Constituencies in most deprived quintile (20%),0.132848713,0.342690668,0.524460619,1,2
UKPARL.2025.HPL,Hartlepool,34.55396778,1st IMD quintile,Constituencies in most deprived quintile (20%),0.280479463,0.213632489,0.505888048,1,2
UKPARL.2025.NGE,Nottingham East,34.55323521,1st IMD quintile,Constituencies in most deprived quintile (20%),0.046394815,0.475141777,0.478463408,1,2
UKPARL.2025.WYT,Wythenshawe and Sale East,34.34540078,1st IMD quintile,Constituencies in most deprived quintile (20%),0.267393873,0.220361785,0.512244341,1,2
UKPARL.2025.AUL,Ashton-under-Lyne,34.33433661,1st IMD quintile,Constituencies in most deprived quintile (20%),0.056264051,0.494097366,0.449638583,1,2
UKPARL.2025.LWV,Liverpool Wavertree,34.27131535,1st IMD quintile,Constituencies in most deprived quintile (20%),0.183933556,0.370116994,0.44594945,1,2
UKPARL.2025.CLT,Clacton,34.25831698,1st IMD quintile,Constituencies in most deprived quintile (20%),0.086142618,0.560821969,0.353035412,1,2
UKPARL.2025.SKN,Stockton North,34.23059256,1st IMD quintile,Constituencies in most deprived quintile (20%),0.21223177,0.329153665,0.458614565,1,2
UKPARL.2025.SMK,Smethwick,34.22732346,1st IMD quintile,Constituencies in most deprived quintile (20%),0.038378295,0.432096661,0.529525043,1,2
UKPARL.2025.SHE,Sheffield Heeley,34.19902314,1st IMD quintile,Constituencies in most deprived quintile (20%),0.191654272,0.341332011,0.467013717,1,2
UKPARL.2025.ETH,East Thanet,34.17161129,1st IMD quintile,Constituencies in most deprived quintile (20%),0.189542179,0.36533291,0.445124911,1,2
UKPARL.2025.BGR,Blaenau Gwent and Rhymney,34.0517472,1st IMD quintile,Constituencies in most deprived quintile (20%),0.01202307,0.533704265,0.454272665,1,2
UKPARL.2025.HSD,Hackney South and Shoreditch,34.02653453,1st IMD quintile,Constituencies in most deprived quintile (20%),0,0.548525567,0.451474433,1,2
UKPARL.2025.SHS,St Helens South and Whiston,33.91342599,1st IMD quintile,Constituencies in most deprived quintile (20%),0.18556774,0.36171698,0.45271528,1,2
UKPARL.2025.CEA,Coventry East,33.84986203,1st IMD quintile,Constituencies in most deprived quintile (20%),0.088989398,0.496971335,0.414039267,1,2
UKPARL.2025.BLN,Bolton North East,33.834956,1st IMD quintile,Constituencies in most deprived quintile (20%),0.26903808,0.235168032,0.495793888,1,2
UKPARL.2025.BSS,Bristol South,33.80886351,1st IMD quintile,Constituencies in most deprived quintile (20%),0.250962641,0.343640693,0.405396667,1,2
UKPARL.2025.SAN,South Antrim,33.67459861,1st IMD quintile,Constituencies in most deprived quintile (20%),0,0.687684488,0.312315512,1,2
UKPARL.2025.WBW,West Bromwich,33.62532495,1st IMD quintile,Constituencies in most deprived quintile (20%),0.041628064,0.42899406,0.529377876,1,2
UKPARL.2025.HYB,Hyndburn,33.55412112,1st IMD quintile,Constituencies in most deprived quintile (20%),0.20945256,0.325991852,0.464555588,1,2
UKPARL.2025.BKG,Barking,33.47561621,1st IMD quintile,Constituencies in most deprived quintile (20%),0,0.522415931,0.477584069,1,2
UKPARL.2025.PRE,Preston,33.29972998,1st IMD quintile,Constituencies in most deprived quintile (20%),0.157792066,0.331449574,0.51075836,1,2
UKPARL.2025.GYM,Great Yarmouth,33.29233556,1st IMD quintile,Constituencies in most deprived quintile (20%),0.133868889,0.481507208,0.384623903,1,2
UKPARL.2025.HMN,Heywood and Middleton North,33.09764556,1st IMD quintile,Constituencies in most deprived quintile (20%),0.211560494,0.366746076,0.42169343,1,2
UKPARL.2025.BAA,Blyth and Ashington,33.09452271,1st IMD quintile,Constituencies in most deprived quintile (20%),0.187748062,0.299311061,0.512940877,1,2
UKPARL.2025.OLE,Oldham East and Saddleworth,33.03421995,1st IMD quintile,Constituencies in most deprived quintile (20%),0.311559076,0.207748733,0.480692191,1,2
UKPARL.2025.HAR,Hastings and Rye,32.98822358,1st IMD quintile,Constituencies in most deprived quintile (20%),0.128392282,0.473392328,0.39821539,1,2
UKPARL.2025.WNE,Wolverhampton North East,32.8622072,1st IMD quintile,Constituencies in most deprived quintile (20%),0.124713438,0.362151554,0.513135007,1,2
UKPARL.2025.DAB,Dewsbury and Batley,32.85022839,1st IMD quintile,Constituencies in most deprived quintile (20%),0.150215075,0.368631049,0.481153876,1,2
UKPARL.2025.BEB,Birmingham Edgbaston,32.48623949,1st IMD quintile,Constituencies in most deprived quintile (20%),0.151745786,0.442022864,0.406231351,1,2
UKPARL.2025.RAO,Rhondda and Ogmore,32.4841224,1st IMD quintile,Constituencies in most deprived quintile (20%),0.045532553,0.601367055,0.353100391,1,2
UKPARL.2025.STN,Stoke-on-Trent North,32.4548945,1st IMD quintile,Constituencies in most deprived quintile (20%),0.153935304,0.379641659,0.466423037,1,2
UKPARL.2025.NCE,Newcastle upon Tyne East and Wallsend,32.44433207,1st IMD quintile,Constituencies in most deprived quintile (20%),0.222742372,0.422379297,0.354878331,1,2
UKPARL.2025.AFM,Aberafan Maesteg,32.41395123,1st IMD quintile,Constituencies in most deprived quintile (20%),0.144453337,0.399576655,0.455970008,1,2
UKPARL.2025.LWP,Leeds West and Pudsey,32.37861048,1st IMD quintile,Constituencies in most deprived quintile (20%),0.241952326,0.382312187,0.375735486,1,2
UKPARL.2025.DUD,Dudley,32.29096481,1st IMD quintile,Constituencies in most deprived quintile (20%),0.203743595,0.307203117,0.489053287,1,2
UKPARL.2025.SHN,St Helens North,32.1008017,1st IMD quintile,Constituencies in most deprived quintile (20%),0.228292117,0.354199683,0.4175082,1,2
UKPARL.2025.SSE,Sheffield South East,32.0846148,1st IMD quintile,Constituencies in most deprived quintile (20%),0.214857641,0.375119493,0.410022866,1,2
UKPARL.2025.RED,Redcar,31.92793998,1st IMD quintile,Constituencies in most deprived quintile (20%),0.243110572,0.377864384,0.379025045,1,2
UKPARL.2025.GSW,Glasgow South West,31.90213633,1st IMD quintile,Constituencies in most deprived quintile (20%),0.219922837,0.344987299,0.435089864,1,2
UKPARL.2025.NDW,North Down,31.87862518,1st IMD quintile,Constituencies in most deprived quintile (20%),0,0.624936171,0.375063829,1,2
UKPARL.2025.PSD,Plymouth Sutton and Devonport,31.82122149,1st IMD quintile,Constituencies in most deprived quintile (20%),0.150712739,0.463067178,0.386220084,1,2
UKPARL.2025.HFX,Halifax,31.68678643,1st IMD quintile,Constituencies in most deprived quintile (20%),0.184967252,0.352947276,0.462085472,1,2
UKPARL.2025.PBO,Peterborough,31.623519,1st IMD quintile,Constituencies in most deprived quintile (20%),0.132016137,0.338362822,0.529621041,1,2
UKPARL.2025.HUW,Kingston upon Hull West and Haltemprice,31.50524278,1st IMD quintile,Constituencies in most deprived quintile (20%),0.312062399,0.301867739,0.386069862,1,2
UKPARL.2025.SUN,Sunderland Central,31.42676335,1st IMD quintile,Constituencies in most deprived quintile (20%),0.198142141,0.406130404,0.395727455,1,2
UKPARL.2025.DNN,Doncaster North,31.41360968,1st IMD quintile,Constituencies in most deprived quintile (20%),0.215205646,0.41669506,0.368099294,1,2
UKPARL.2025.RAC,Rawmarsh and Conisbrough,31.35802756,1st IMD quintile,Constituencies in most deprived quintile (20%),0.157693868,0.475681257,0.366624876,1,2
UKPARL.2025.SSH,South Shields,31.24491883,1st IMD quintile,Constituencies in most deprived quintile (20%),0.197431831,0.401598155,0.400970014,1,2
UKPARL.2025.LGT,Liverpool Garston,31.15402711,1st IMD quintile,Constituencies in most deprived quintile (20%),0.290843842,0.313450788,0.39570537,1,2
UKPARL.2025.LGV,Lagan Valley,31.14846393,1st IMD quintile,Constituencies in most deprived quintile (20%),0,0.754822796,0.245177204,1,2
UKPARL.2025.SPT,Stockport,31.04314855,1st IMD quintile,Constituencies in most deprived quintile (20%),0.246350238,0.422329591,0.331320171,1,2
UKPARL.2025.NPE,Newport East,31.03424858,1st IMD quintile,Constituencies in most deprived quintile (20%),0.223662689,0.328918999,0.447418312,1,2
UKPARL.2025.PKM,Peckham,30.99943097,1st IMD quintile,Constituencies in most deprived quintile (20%),0,0.626106107,0.373893893,1,2
UKPARL.2025.BSO,Birmingham Selly Oak,30.98721617,1st IMD quintile,Constituencies in most deprived quintile (20%),0.065513312,0.589999683,0.344487005,1,2
UKPARL.2025.HSN,Hackney North and Stoke Newington,30.86124528,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0,0.733112148,0.266887852,2,3
UKPARL.2025.BNN,Barnsley North,30.63432737,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.129587137,0.499397461,0.371015402,2,3
UKPARL.2025.HSS,Houghton and Sunderland South,30.62069772,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.193280499,0.425263666,0.381455834,2,3
UKPARL.2025.PCK,"Pontefract, Castleford and Knottingley",30.59200888,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.221695347,0.393108864,0.385195789,2,3
UKPARL.2025.WHB,West Ham and Beckton,30.53510255,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.026788158,0.611579111,0.361632732,2,3
UKPARL.2025.WAH,Widnes and Halewood,30.53011275,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.251607165,0.340951361,0.407441475,2,3
UKPARL.2025.BSE,Bristol East,30.51246462,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.14274047,0.53579753,0.321462,2,3
UKPARL.2025.GCW,Gateshead Central and Whickham,30.47544159,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.237361237,0.421601456,0.341037307,2,3
